Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83676;02/05/1981;0000;;30.1;;10;4.3;20.78;66.5;1.9;
83676;02/05/1981;1200;0;;13.4;;;;;;
83676;03/05/1981;0000;;31.3;;0.9;5.2;;;;
83676;03/05/1981;1200;0;;17.9;;;;;;
83676;04/05/1981;0000;;29.7;;7.3;4.6;22.7;75.75;2.333333;
83676;04/05/1981;1200;0;;19.2;;;;;;
83676;05/05/1981;0000;;31.9;;9.1;4.7;;;;
83676;05/05/1981;1200;0;;17;;;;;;
83676;06/05/1981;0000;;30.9;;9.9;5.6;;;;
83676;06/05/1981;1200;0;;17.5;;;;;;
83676;07/05/1981;0000;;29.4;;10;7.1;22.08;56;3.2;
83676;07/05/1981;1200;0;;15.9;;;;;;
83676;08/05/1981;0000;;29.5;;8.5;7.2;22.48;57;2.866667;
83676;08/05/1981;1200;0;;18;;;;;;
83676;09/05/1981;0000;;29.2;;7.8;6.3;21.94;59.5;1.766667;
83676;09/05/1981;1200;0;;15.6;;;;;;
83676;10/05/1981;0000;;30.1;;9.5;5.6;22.92;59.75;3.466667;
83676;10/05/1981;1200;0;;18.2;;;;;;
83676;11/05/1981;0000;;30.5;;8.2;5.3;22.88;60;1.833333;
83676;11/05/1981;1200;0;;16.9;;;;;;
83676;12/05/1981;0000;;31;;7.6;5.4;22.82;59.25;2.633333;
83676;12/05/1981;1200;0;;18.1;;;;;;
83676;13/05/1981;0000;;29.9;;9.4;5.8;23.06;50.75;3.5;
83676;13/05/1981;1200;0;;18.6;;;;;;
83676;14/05/1981;0000;;30.3;;9.9;7;22.12;60.25;2.666667;
83676;14/05/1981;1200;0;;16;;;;;;
83676;15/05/1981;0000;;29.9;;8.7;6.6;;;;
83676;15/05/1981;1200;0;;15.4;;;;;;
83676;16/05/1981;0000;;27.7;;9.5;5.6;20.68;61;5.133333;
83676;16/05/1981;1200;0;;16.9;;;;;;
83676;17/05/1981;0000;;27.1;;7.7;7.1;20.04;67.75;3.766667;
83676;17/05/1981;1200;0;;15;;;;;;
